"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_log2FC","HT55_padj","SW948_log2FC","SW948_padj","observed_LFC_difference","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","interaction_status"
"ENSG00000198843.15","ENSG00000198843","SELENOT","protein_coding",-0.214078436470347,0.0040709074969048,-0.284452705867048,5.72702567425437e-05,-0.070374269396701,779.20527175527,-0.0703742689020562,0.0956272676213034,-0.73592261551117,0.461777793196003,0.559913301455528,"Not_significant"
"ENSG00000106635.10","ENSG00000106635","BCL7B","protein_coding",-0.00580562637120392,0.971949197827672,0.095651099117921,0.375281019092608,0.101456725489125,558.014892588449,0.101456723556506,0.137924933569951,0.73559378228774,0.461977947639142,0.560109128853547,"Not_significant"
"ENSG00000153060.8","ENSG00000153060","TEKT5","protein_coding",-0.530642264073354,0.459636405909777,-1.56875328401717,0.266699612972453,-1.03811101994382,5.26393698236022,-1.03811404811312,1.41237683419627,-0.735012089534783,0.462332131383223,0.560491655345966,"Not_significant"
"ENSG00000237828.1","ENSG00000237828","PA2G4P1","processed_pseudogene",-0.468313618443966,0.377671072748212,-0.989993867148684,0.102939122600927,-0.521680248704718,7.89075557229382,-0.521680242927801,0.709841724417262,-0.734924737420964,0.46238533181958,0.56050926212709,"Not_significant"
"ENSG00000141579.8","ENSG00000141579","ZNF750","protein_coding",1.67675375253334,0.011527046188888,0,1,-1.67675375253334,5.02417656411876,-1.19322810536199,1.62379721806234,-0.734838126392322,0.462438084281711,0.56052632296843,"Not_significant"
"ENSG00000253153.1","ENSG00000253153","ENSG00000253153","processed_pseudogene",0.13294124506742,0.818075671199762,0.560417839601424,0.199588668692731,0.427476594534004,13.1942583482948,0.427476445300004,0.582205680183563,0.734236129687408,0.462804837141958,0.560923952484842,"Not_significant"
"ENSG00000160223.20","ENSG00000160223","ICOSLG","protein_coding",-0.957331643662677,0.0134564071213379,-1.33352545296027,0.000741294744592432,-0.376193809297593,13.8652341933098,-0.376193791024704,0.512509816184837,-0.734022606289026,0.462934960395176,0.561034742101263,"Not_significant"
"ENSG00000291064.2","ENSG00000291064","ENSG00000291064","lncRNA",-0.907139300564335,0.108033350828863,-1.42341000946992,0.00793570098689701,-0.516270708905585,7.80099168749398,-0.51627056968132,0.703416786866183,-0.733946899364422,0.462981101835522,0.561043743440119,"Not_significant"
"ENSG00000015413.12","ENSG00000015413","DPEP1","protein_coding",0.185794816173238,0.247828189960414,0.0367342976609386,0.840356351432101,-0.149060518512299,2985.09578239614,-0.149060528543872,0.203130446476132,-0.733816772077972,0.463060417089705,0.561092940172576,"Not_significant"
"ENSG00000185483.14","ENSG00000185483","ROR1","protein_coding",-1.65581191450695,0.277386351108934,-2.59494280284491,9.99278258286858e-27,-0.93913088833796,34.7509157823006,-0.939131442132014,1.2808174082386,-0.733228199500759,0.463419258762004,0.561471786740314,"Not_significant"
"ENSG00000101928.15","ENSG00000101928","MOSPD1","protein_coding",0.125327068966842,0.470742174280097,0.270981348116432,0.0759588466178889,0.14565427914959,196.968059088445,0.145654273134457,0.198661849269977,0.733176871501466,0.463450559825258,0.561471786740314,"Not_significant"
"ENSG00000115425.16","ENSG00000115425","PECR","protein_coding",-1.63322422342614,1.25674823756693e-25,-1.47756421273364,5.95932071663769e-22,0.1556600106925,295.34945864863,0.155659999171777,0.212488355521092,0.732557785531576,0.463828186293396,0.561882310103143,"Not_significant"
