"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_log2FC","HT55_padj","HT55_status","SW948_log2FC","SW948_padj","SW948_status","significance_group"
"ENSG00000150779.13","ENSG00000150779","TIMM8B","protein_coding",-0.316632360981509,0.00329513542420181,"Not_significant",-0.511004006630917,6.9988526054637e-07,"Not_significant","Neither"
"ENSG00000150782.15","ENSG00000150782","IL18","protein_coding",1.13542990551397,3.87740570825454e-07,"Upregulated",1.65483719318657,9.28948554186026e-14,"Upregulated","Significant_both"
"ENSG00000150787.10","ENSG00000150787","PTS","protein_coding",0.12718165373008,0.495329848093828,"Not_significant",0.498935399618027,0.000233458262603091,"Not_significant","Neither"
"ENSG00000150867.16","ENSG00000150867","PIP4K2A","protein_coding",-0.760270151479539,0.000133547081976813,"Not_significant",-0.268422158801634,0.0204282090049196,"Not_significant","Neither"
"ENSG00000150893.12","ENSG00000150893","FREM2","protein_coding",1.32910490131467,0.000408893911924674,"Upregulated",0.783952105902788,0.0101756839052748,"Not_significant","HT55_only"
"ENSG00000150907.12","ENSG00000150907","FOXO1","protein_coding",0.8807333516064,2.12753143400569e-06,"Not_significant",1.43769882014825,1.6358055320639e-16,"Upregulated","SW948_only"
"ENSG00000150938.12","ENSG00000150938","CRIM1","protein_coding",0.302646237230335,0.00964761642211482,"Not_significant",-0.473273195646621,5.8018306591741e-06,"Not_significant","Neither"
"ENSG00000150961.17","ENSG00000150961","SEC24D","protein_coding",1.91024328472301,1.42250577007692e-38,"Upregulated",2.35119659449204,2.04469780741646e-64,"Upregulated","Significant_both"
"ENSG00000150967.21","ENSG00000150967","ABCB9","protein_coding",0.470786215076163,0.0585550562837703,"Not_significant",1.11052843610262,5.68855921894227e-10,"Upregulated","SW948_only"
"ENSG00000150977.14","ENSG00000150977","RILPL2","protein_coding",0.720868848942914,8.99969924798713e-05,"Not_significant",1.39591563326,1.85674618675885e-16,"Upregulated","SW948_only"
"ENSG00000150990.11","ENSG00000150990","DHX37","protein_coding",0.203940100506571,0.0926120170598049,"Not_significant",-0.383305002456046,0.000659673802451051,"Not_significant","Neither"
"ENSG00000150991.18","ENSG00000150991","UBC","protein_coding",0.592908156431612,0.000139824489983918,"Not_significant",1.68250191115086,5.026658037518e-31,"Upregulated","SW948_only"
"ENSG00000150995.22","ENSG00000150995","ITPR1","protein_coding",0.515723336981553,0.334396461930679,"Not_significant",0.862615600244157,0.0225881706085948,"Not_significant","Neither"
"ENSG00000151012.14","ENSG00000151012","SLC7A11","protein_coding",-0.734755325351356,4.05705720430633e-06,"Not_significant",-0.016011166062262,0.928779157234499,"Not_significant","Neither"
"ENSG00000151014.8","ENSG00000151014","NOCT","protein_coding",-0.0808006570927592,0.862492815593303,"Not_significant",1.66057890361904,4.56276418913966e-08,"Upregulated","SW948_only"
"ENSG00000151025.12","ENSG00000151025","GPR158","protein_coding",-0.939088519666935,0.306701549194944,"Not_significant",0.577649476554559,0.0699466618770628,"Not_significant","Neither"
"ENSG00000151062.15","ENSG00000151062","CACNA2D4","protein_coding",-1.87980611240649,0.000112705109418469,"Downregulated",-0.968894315626886,0.202751533062039,"Not_significant","HT55_only"
"ENSG00000151065.16","ENSG00000151065","DCP1B","protein_coding",-0.549848289598181,0.000556021412253867,"Not_significant",-0.689802785325046,2.79040759613228e-05,"Not_significant","Neither"
"ENSG00000151067.24","ENSG00000151067","CACNA1C","protein_coding",0.214347853218984,0.468429105254588,"Not_significant",-0.713118699129896,0.0212439973532129,"Not_significant","Neither"
"ENSG00000151090.22","ENSG00000151090","THRB","protein_coding",2.12229249709728,1.05067701746628e-55,"Upregulated",0.340103942481183,0.00412481413588501,"Not_significant","HT55_only"
"ENSG00000151092.20","ENSG00000151092","NGLY1","protein_coding",-0.341642908083048,0.00342003245174399,"Not_significant",0.0746871599978046,0.480099675940043,"Not_significant","Neither"
"ENSG00000151093.10","ENSG00000151093","OXSM","protein_coding",-0.251402971590491,0.212208978477266,"Not_significant",-0.387116856537264,0.0304790764455253,"Not_significant","Neither"
"ENSG00000151116.19","ENSG00000151116","UEVLD","protein_coding",-0.185883696049504,0.2345987446489,"Not_significant",-1.07435866632891,2.64192200110334e-17,"Downregulated","SW948_only"
"ENSG00000151117.10","ENSG00000151117","TMEM86A","protein_coding",0.17281494777982,0.411363465933543,"Not_significant",-1.01611957180271,5.92877413621281e-06,"Downregulated","SW948_only"
"ENSG00000151131.13","ENSG00000151131","NOPCHAP1","protein_coding",-0.302306454047244,0.0223844096469581,"Not_significant",-1.11740763384987,7.99838141329166e-18,"Downregulated","SW948_only"
"ENSG00000151135.12","ENSG00000151135","TMEM263","protein_coding",1.54772299789058,3.75163083029168e-26,"Upregulated",1.63356602065118,1.87786427632733e-33,"Upregulated","Significant_both"
"ENSG00000151136.15","ENSG00000151136","ABTB3","protein_coding",-1.35273259544445,0.00029874426509452,"Downregulated",4.731152894599,4.7316553429914e-05,"Upregulated","Significant_both"
"ENSG00000151148.16","ENSG00000151148","UBE3B","protein_coding",-0.149164048707276,0.229343410477139,"Not_significant",-0.934413298878806,1.58676026119261e-17,"Not_significant","Neither"
"ENSG00000151150.24","ENSG00000151150","ANK3","protein_coding",0.953654812902238,1.5446710685117e-11,"Not_significant",-0.542338445327602,0.000103899954633636,"Not_significant","Neither"
"ENSG00000151151.8","ENSG00000151151","IPMK","protein_coding",0.298024356680829,0.0126113049028304,"Not_significant",0.404297686853808,0.00182896159912867,"Not_significant","Neither"
"ENSG00000151164.20","ENSG00000151164","RAD9B","protein_coding",-1.33665473914275,0.00605229778632772,"Downregulated",-0.892080156145738,0.260167638725404,"Not_significant","HT55_only"
"ENSG00000151176.10","ENSG00000151176","PLBD2","protein_coding",0.690185817864138,2.45447717746096e-16,"Not_significant",0.000607269693709216,0.999916044183206,"Not_significant","Neither"
"ENSG00000151208.19","ENSG00000151208","DLG5","protein_coding",0.471550309114141,4.69231423616735e-08,"Not_significant",0.0269543584620443,0.782317334306785,"Not_significant","Neither"
"ENSG00000151224.15","ENSG00000151224","MAT1A","protein_coding",1.42981020160905,0.00341854615507994,"Upregulated",-1.38613603883601,0.00498097149505234,"Downregulated","Significant_both"
"ENSG00000151229.15","ENSG00000151229","SLC2A13","protein_coding",0.592304111174154,3.84747240596873e-08,"Not_significant",0.394742700334999,0.00123740524644514,"Not_significant","Neither"
"ENSG00000151233.13","ENSG00000151233","GXYLT1","protein_coding",0.472421609050076,7.63424486463957e-06,"Not_significant",-1.23658547535741,1.78072769908989e-33,"Downregulated","SW948_only"
"ENSG00000151239.16","ENSG00000151239","TWF1","protein_coding",0.323848615588422,0.00501858738817011,"Not_significant",0.630613992309316,1.20243597096655e-09,"Not_significant","Neither"
"ENSG00000151240.20","ENSG00000151240","DIP2C","protein_coding",-0.525757442954421,0.542183201235817,"Not_significant",0.424475028475121,0.0166170661976549,"Not_significant","Neither"
"ENSG00000151247.15","ENSG00000151247","EIF4E","protein_coding",-0.323377130314855,0.00195015185509558,"Not_significant",0.390053653709779,3.32395218502101e-05,"Not_significant","Neither"
