"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_baseMean","HT55_log2FC","HT55_pvalue","HT55_padj","HT55_status","SW948_baseMean","SW948_log2FC","SW948_pvalue","SW948_padj","SW948_status","shared_response","joint_padj"
"ENSG00000105519.19","ENSG00000105519","CAPS","protein_coding",80.5197239209317,2.16435223883819,8.15457007759557e-24,4.80390364083394e-22,"Upregulated",80.5197239209317,-1.12275996932223,0.000291430143599896,0.000513296747818387,"Downregulated","Discordant_direction",0.000513296747818387
"ENSG00000171227.9","ENSG00000171227","TMEM37","protein_coding",43.8568716388674,1.90364827259869,1.42051170655116e-10,1.64556799770898e-09,"Upregulated",43.8568716388674,-1.2606223053186,0.000593043123047088,0.00100873015718291,"Downregulated","Discordant_direction",0.00100873015718291
"ENSG00000080823.25","ENSG00000080823","MOK","protein_coding",57.8332683998883,-1.59460042987587,0.000504323503009679,0.00159752048210192,"Downregulated",57.8332683998883,1.0065542211615,5.2973893617658e-11,1.68096708190738e-10,"Upregulated","Discordant_direction",0.00159752048210192
"ENSG00000242515.7","ENSG00000242515","UGT1A10","protein_coding",236.508952484933,1.97625874123462,0.000600364019359748,0.00186745554165303,"Upregulated",236.508952484933,-2.00287412075077,4.9839598855917e-22,3.35007173756934e-21,"Downregulated","Discordant_direction",0.00186745554165303
"ENSG00000157303.13","ENSG00000157303","SUSD3","protein_coding",57.9615613142739,-1.46978040492378,7.49437029244359e-19,2.54352258262512e-17,"Downregulated",57.9615613142739,1.94163466472667,0.00140391278629279,0.00228370233460042,"Upregulated","Discordant_direction",0.00228370233460042
"ENSG00000132329.13","ENSG00000132329","RAMP1","protein_coding",23.8474876060996,3.82279288059113,0.000752748922194075,0.00229853294994449,"Upregulated",23.8474876060996,-2.26033842911355,1.10120464273172e-15,4.89529376762824e-15,"Downregulated","Discordant_direction",0.00229853294994449
"ENSG00000250988.9","ENSG00000250988","SNHG21","lncRNA",17.0886696126852,-1.25131660447062,0.000766197279818687,0.0023329901484821,"Downregulated",17.0886696126852,1.01776319476964,0.00130521050303956,0.00213416570123539,"Upregulated","Discordant_direction",0.0023329901484821
"ENSG00000267751.7","ENSG00000267751","BSG-AS1","lncRNA",22.0322868192312,-1.21254575345274,0.000767986733264707,0.00233669194593158,"Downregulated",22.0322868192312,1.12974908806021,0.000309833523677301,0.000543530737820052,"Upregulated","Discordant_direction",0.00233669194593158
"ENSG00000227014.7","ENSG00000227014","FKBP14-AS1","lncRNA",8.25702630131401,2.028777122498,0.000849972253188116,0.00256460501628194,"Upregulated",8.25702630131401,-2.04960801016625,3.18330142629546e-05,6.18977650206277e-05,"Downregulated","Discordant_direction",0.00256460501628194
"ENSG00000167741.12","ENSG00000167741","GGT6","protein_coding",309.084681561361,1.0571914108951,0.000923621974292852,0.00276266865871043,"Upregulated",309.084681561361,-1.50135944231709,6.92562467437433e-06,1.44370185243143e-05,"Downregulated","Discordant_direction",0.00276266865871043
"ENSG00000113303.14","ENSG00000113303","BTNL8","protein_coding",6.70469757712621,1.90135455092441,0.000948144606194731,0.00282494071401604,"Upregulated",6.70469757712621,-3.94876650648647,0.000536927532577802,0.000918021920967143,"Downregulated","Discordant_direction",0.00282494071401604
"ENSG00000031081.13","ENSG00000031081","ARHGAP31","protein_coding",22.4541770838452,1.83418180227453,0.001064885935294,0.00312332057767268,"Upregulated",22.4541770838452,-1.48308789117191,1.49455351348394e-07,3.61828759061297e-07,"Downregulated","Discordant_direction",0.00312332057767268
"ENSG00000169213.9","ENSG00000169213","RAB3B","protein_coding",91.5697878724027,-1.06311601402279,1.36224063061853e-05,6.22566736642185e-05,"Downregulated",91.5697878724027,3.38043912797138,0.00199628553317063,0.00318473909585082,"Upregulated","Discordant_direction",0.00318473909585082
"ENSG00000196358.14","ENSG00000196358","NTNG2","protein_coding",8.95132816331668,-1.63887165130705,0.000583778751457895,0.0018233020832172,"Downregulated",8.95132816331668,3.7444538099467,0.00204223772709996,0.0032541076570789,"Upregulated","Discordant_direction",0.0032541076570789
"ENSG00000181652.20","ENSG00000181652","ATG9B","protein_coding",24.7901246459194,-1.30888525968687,0.00111627077862642,0.0032588630386491,"Downregulated",24.7901246459194,3.46149020867933,1.78868516026029e-11,5.8924222219818e-11,"Upregulated","Discordant_direction",0.0032588630386491
"ENSG00000102038.18","ENSG00000102038","SMARCA1","protein_coding",34.3797339725643,3.58923605078941,0.00112011400286655,0.0032674501065906,"Upregulated",34.3797339725643,-1.02040916297101,6.17188932130169e-07,1.40557017616498e-06,"Downregulated","Discordant_direction",0.0032674501065906
"ENSG00000170523.3","ENSG00000170523","KRT83","protein_coding",272.225602085103,-1.26856528151498,0.001369040113539,0.00390400026080424,"Downregulated",272.225602085103,2.85402544993044,3.13945984925678e-07,7.35603106474199e-07,"Upregulated","Discordant_direction",0.00390400026080424
"ENSG00000287315.1","ENSG00000287315","ENSG00000287315","lncRNA",19.122529621848,1.26584069204901,0.00164998716050678,0.00461436007913243,"Upregulated",19.122529621848,-3.27014622235417,4.30017706962364e-09,1.18250789550258e-08,"Downregulated","Discordant_direction",0.00461436007913243
"ENSG00000006210.8","ENSG00000006210","CX3CL1","protein_coding",105.172236608369,1.62617732164664,4.95811378651653e-10,5.28330772016158e-09,"Upregulated",105.172236608369,-1.00597766045534,0.00313272401504244,0.00488113497752876,"Downregulated","Discordant_direction",0.00488113497752876
"ENSG00000151224.15","ENSG00000151224","MAT1A","protein_coding",10.0590461897474,1.42981020160905,0.00117662905199688,0.00341854615507994,"Upregulated",10.0590461897474,-1.38613603883601,0.00319989267312567,0.00498097149505234,"Downregulated","Discordant_direction",0.00498097149505234
"ENSG00000260604.4","ENSG00000260604","TGILR","lncRNA",8.80375054131085,1.60575244583523,0.0022525240389448,0.00608001087211548,"Upregulated",8.80375054131085,-1.36298464262218,0.00390569982007387,0.00601438760944751,"Downregulated","Discordant_direction",0.00608001087211548
"ENSG00000072163.22","ENSG00000072163","LIMS2","protein_coding",21.2944143497029,-1.48020189179981,0.00231385221899305,0.00623625559933928,"Downregulated",21.2944143497029,3.14158062335512,4.12411116118265e-06,8.76471901273778e-06,"Upregulated","Discordant_direction",0.00623625559933928
"ENSG00000155016.20","ENSG00000155016","CYP2U1","protein_coding",28.3959569433861,1.43743033145639,0.00298829488872652,0.0078255094917645,"Upregulated",28.3959569433861,-1.10978015731221,6.97878589468829e-05,0.00013138031330972,"Downregulated","Discordant_direction",0.0078255094917645
"ENSG00000143507.20","ENSG00000143507","DUSP10","protein_coding",32.0894684245806,-1.17357521615857,0.00324085722014784,0.00840037611060319,"Downregulated",32.0894684245806,2.20533799088073,4.54415020801411e-17,2.22029078943157e-16,"Upregulated","Discordant_direction",0.00840037611060319
